,Aantal uren,Naam school,ID-school,Salaris schaal,Zij-instromers,Postcode,Dienstverband,Longitude,FTE,Soort vacature,URL,Startdatum,Plaatsnaam,Sluitingsdatum,Latitude,Geplaatst,Functienaam
,https://www.meesterbaan.nl/vacature/246453,31-12-2023,,,Bloemhof,2023-05-26,4363,Onbekend,30-05-2023,4.501309,,Rotterdam,51.897514,3073 HD,Groepsleerkracht midden/bovenbouw,Tijdelijk met uitzicht op vast,"1,0",Fulltime
,https://www.meesterbaan.nl/vacature/246061,03-09-2023,,,ICB Toermalijn,In overleg,9873,Nee,26-05-2023,4.793802,,Wormerveer,52.495395,1521 OB,Leraar onderbouw - Toermalijn (Zaandam),Vast,,Parttime of fulltime
,https://www.meesterbaan.nl/vacature/241607,28-08-2023,,conform CAO,De LinQ,1 augustus 2023,6656,Nee,24-04-2023,4.620565,vaklkr,Nieuw Vennep,52.261124,2151 TA,"Leerkracht midden- en bovenbouw -  wtf 2,0 - Nieuw vennep",Tijdelijk met uitzicht op vast,"2,0",Parttime
,https://www.meesterbaan.nl/vacature/258980,15-10-2023,24,3500,DIT IS WIJS,In overleg,2146,Onbekend,16-08-2023,4.430589,,Rotterdam,51.924652,3044 BC,Leerkracht,Vast,,Parttime
,https://www.meesterbaan.nl/vacature/259043,15-10-2023,20,2500,DIT IS WIJS,In overleg,2146,Onbekend,16-08-2023,4.430589,,Rotterdam,51.924652,3044 BC,Zelfstandig Onderwijsassistent,Vast,,Parttime
,LB,"0,4 tot 0,8",31-08-2023,Onbekend,51.844810,08-07-2023,,Parttime,https://www.meesterbaan.nl/vacature/255428,,5.386006,Leerkracht groep 3-4,1-8-2023,Ophemert,4061 AR,Prins Willem Alexanderschool Ophemert,10773
,,0.8 - 1.0 FTE,11-09-2023,Onbekend,52.054672,17-08-2023,40,,https://www.meesterbaan.nl/vacature/259245,Tijdelijk met uitzicht op vast,4.476493,(senior) HR adviseur,In overleg,Zoetermeer,2715 CA,Unicoz Onderwijsgroep,1774
,,"0,2 -1 wtf",01-10-2023,Nee,52.002585,17-08-2023,,Parttime of fulltime,https://www.meesterbaan.nl/vacature/259203,Tijdelijk met uitzicht op vast,4.325482,Leerkracht bij Het Galjoen in Den Hoorn (ZH),zsm,Den Hoorn,2635 MK,Het Galjoen,9582
,,"0,6 - 1,0",22-08-2023,Nee,52.294072,05-07-2023,,Parttime of fulltime,https://www.meesterbaan.nl/vacature/254896,Tijdelijk met uitzicht op vast,5.597877,Groepsleerkracht,1 oktober 2023,Ermelo,3853 CA,De Arendshorst,8089
,2500,,15-10-2023,Onbekend,51.924652,16-08-2023,24,Parttime,https://www.meesterbaan.nl/vacature/259176,Vast,4.430589,Pabo-student,In overleg,Rotterdam,3044 BC,DIT IS WIJS,2146
,,0.700-1.000,04-09-2023,Nee,51.866978,17-05-2023,,Parttime,https://www.meesterbaan.nl/vacature/244542,Tijdelijk met uitzicht op vast,4.356604,'t Schakeltje: Pedagogisch medewerker kinderdagopvang/peutergroep,1-8-2023,Rotterdam Hoogvliet,3191 AE,"Schakel, Montessori",5696
,LB,"0,4",27-08-2023,Nee,52.376815,27-06-2023,,Parttime,https://www.meesterbaan.nl/vacature/253202,,4.753868,Leerkracht groep 1/2,1-8-2023,Zwanenburg,1161 JL,De Zwaan,5528
,,"0,4 - 0,8 fte",17-09-2023,Nee,52.447817,17-07-2023,,Parttime,https://www.meesterbaan.nl/vacature/256694,,4.800894,Leraar Rietvink - kleuterbouw,z.s.m.,Zaandam,1507 XE,Rietvink,10177
,3500,,15-10-2023,Onbekend,51.924652,16-08-2023,20,Parttime,https://www.meesterbaan.nl/vacature/259007,Vast,4.430589,Leerkracht,In overleg,Rotterdam,3044 BC,DIT IS WIJS,2146
,,"0,2",14-10-2023,Nee,52.213980,14-08-2023,,Parttime,https://www.meesterbaan.nl/vacature/258821,,4.931024,Leerkracht groep 3/4 - 1 dag,1 augustus 2023,Vinkeveen,3645 EX,Sint Jozefschool,5964
,"0,8 - 1,0",Parttime of fulltime,,De Herenweg,Tijdelijk met uitzicht op vast,52.141457,4.395380,Onbekend,Leerkracht middenbouw,05-09-2023,4715,https://www.meesterbaan.nl/vacature/255002,LB / LC,z.s.m.,05-07-2023,2242 ES,Wassenaar
,"0,6 FTE",Parttime,,A'DAM Onderwijs,Tijdelijk,52.363493,4.858030,Ja,Tijdelijke onderbouw groepsleerkracht in Amsterdam-West,21-08-2023,4066,https://www.meesterbaan.nl/vacature/257517,LB,04-09-2023,21-07-2023,1058 AA,Amsterdam
,"0,6-0,8",Parttime,,Stichting PCBO te Rotterdam-Zuid,Tijdelijk met uitzicht op vast,51.890257,4.518943,Nee,(voor)schoolmaatschappelijk werker,13-09-2023,6313,https://www.meesterbaan.nl/vacature/233450,9,in overleg,14-03-2023,3007 JA,Rotterdam
,"0,4",Parttime,,Scholengroep IJsselrijk,Tijdelijk met uitzicht op vast,52.480655,6.024423,Nee,Controller - Scholengroep & Kindcentrum IJsselrijk,20-08-2023,8626,https://www.meesterbaan.nl/vacature/257335,,in overleg,20-07-2023,8094 SE,Hattemerbroek
,"0,4-0,8 fte",,"Leraar in opleiding, Pabo",De Odyssee,Tijdelijk met uitzicht op vast,52.086224,5.135896,Onbekend,Leerkracht groep 6,20-10-2023,9183,https://www.meesterbaan.nl/vacature/259255,,2023-10-23,17-08-2023,3581 MJ,Utrecht
,,Parttime of fulltime,,Octantschool Vlinderboom,Tijdelijk met uitzicht op vast,52.003479,4.438487,Ja,Leerkracht bovenbouw groep 6,05-09-2023,8199,https://www.meesterbaan.nl/vacature/254904,,In overleg,05-07-2023,2643 MC,Pijnacker
,"0,8 - 1,0",Parttime of fulltime,,De Berk,Tijdelijk met uitzicht op vast,51.658757,5.018365,Nee,Leerkracht groep 4,31-08-2023,8616,https://www.meesterbaan.nl/vacature/250060,,In overleg,13-06-2023,5171 BM,Kaatsheuvel
,"0,2- 0,4",Parttime,,"International School Eindhoven, Primary school",Tijdelijk met uitzicht op vast,51.460663,5.430668,Nee,Groepsleerkracht diverse groepen,27-08-2023,2534,https://www.meesterbaan.nl/vacature/232073,,Z.s.m.,01-03-2023,5651 GC,EINDHOVEN
,"0,8-1,0",Parttime of fulltime,,CBS Groen van Prinsterer,,51.851508,4.548580,Onbekend,Leerkracht groep 5,16-10-2023,6771,https://www.meesterbaan.nl/vacature/259156,,in overleg,16-08-2023,2992 TS,Barendrecht
,1,Fulltime,,Stichting O2A5,,51.863436,4.997131,Nee,Kindcentrum Werelds in Vianen Stamgroepleider middenbouw (onderbouw of bovenbouw bespreekbaar),21-08-2023,4100,https://www.meesterbaan.nl/vacature/245931,,1-8-2023,25-05-2023,4141 BL,Arkel
